DATE,CUUR0000SEHB
1997-12-01,100.000
1998-01-01,105.100
1998-02-01,109.300
1998-03-01,111.200
1998-04-01,110.200
1998-05-01,108.700
1998-06-01,109.600
1998-07-01,111.700
1998-08-01,112.900
1998-09-01,109.800
1998-10-01,109.500
1998-11-01,106.300
1998-12-01,103.800
1999-01-01,107.100
1999-02-01,110.500
1999-03-01,114.500
1999-04-01,114.600
1999-05-01,111.800
1999-06-01,113.800
1999-07-01,117.100
1999-08-01,117.100
1999-09-01,113.800
1999-10-01,113.100
1999-11-01,108.500
1999-12-01,105.800
2000-01-01,111.300
2000-02-01,115.100
2000-03-01,120.900
2000-04-01,119.400
2000-05-01,117.500
2000-06-01,120.500
2000-07-01,122.800
2000-08-01,123.000
2000-09-01,118.100
2000-10-01,118.500
2000-11-01,113.900
2000-12-01,108.800
2001-01-01,114.100
2001-02-01,119.100
2001-03-01,124.200
2001-04-01,121.800
2001-05-01,120.000
2001-06-01,123.700
2001-07-01,124.000
2001-08-01,125.200
2001-09-01,116.800
2001-10-01,114.500
2001-11-01,111.600
2001-12-01,108.600
2002-01-01,113.100
2002-02-01,119.300
2002-03-01,121.900
2002-04-01,122.100
2002-05-01,120.100
2002-06-01,120.900
2002-07-01,121.700
2002-08-01,123.800
2002-09-01,117.600
2002-10-01,117.000
2002-11-01,113.200
2002-12-01,109.200
2003-01-01,114.300
2003-02-01,117.600
2003-03-01,119.700
2003-04-01,118.700
2003-05-01,121.400
2003-06-01,122.400
2003-07-01,124.800
2003-08-01,125.100
2003-09-01,118.500
2003-10-01,120.900
2003-11-01,115.000
2003-12-01,112.900
2004-01-01,117.200
2004-02-01,120.000
2004-03-01,128.100
2004-04-01,129.100
2004-05-01,128.200
2004-06-01,129.100
2004-07-01,132.200
2004-08-01,130.600
2004-09-01,127.200
2004-10-01,128.000
2004-11-01,121.900
2004-12-01,118.700
2005-01-01,122.600
2005-02-01,128.900
2005-03-01,138.300
2005-04-01,136.200
2005-05-01,131.700
2005-06-01,132.800
2005-07-01,136.400
2005-08-01,134.300
2005-09-01,124.700
2005-10-01,129.700
2005-11-01,125.200
2005-12-01,122.800
